symbol,timestamp,close,avg20_vol,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,pred_std_5d,prob_up_5d,D_atr14,D_cpr_width_pct,long_score,short_score,bias,global_hits,actionable
GOLDSHARE,2025-12-23 00:00:00+05:30,114.9,835302.75,0.6921739130434783,,1.122891112166444,1.0660558547889714,2.066430600321465,0.6970352359564005,2.7315123856844843,-0.1450536698578391,6.5,0.5,LONG,377,True
MUTHOOTFIN,2025-12-23 00:00:00+05:30,3808.2,348802.0,0.8673066064370413,,0.6943581832729693,0.9805468758666994,3.55582514569694,0.6086329293542,71.24298915278968,0.231955604572581,8.0,0.5,LONG,377,True
LIQUID1,2025-12-23 00:00:00+05:30,1083.55,389689.95,0.9282178217821783,,0.7177358425566296,0.9649770000110662,1.8343258558069337,0.7005789460400176,1.2245375982476083,-0.0261486164305572,6.5,0.5,LONG,377,True
HINDALCO,2025-12-23 00:00:00+05:30,863.85,4133760.8,0.8817879571481345,,1.02998536062447,0.9133108977856961,4.121896470098607,0.5876777500620718,16.3867889854108,-0.1910053828789825,7.5,0.5,LONG,377,True
ICICIB22,2025-12-23 00:00:00+05:30,116.65,273908.05,0.5754864365857122,,0.4612200556888221,0.7646425217932302,2.659096677389902,0.6131571001368902,2.304199941442329,0.1257322474639065,8.5,1.0,LONG,377,True
JAMNAAUTO,2025-12-23 00:00:00+05:30,128.86,4469169.85,0.016732811326826132,,0.1711203110182947,0.4926524936342552,4.21994126286792,0.5464685556876301,4.09917465359891,0.3026540431475914,7.5,0.5,LONG,377,True
UPL,2025-12-23 00:00:00+05:30,781.0,2383263.0,0.2742737923286793,,0.321802882769476,0.4794552700973534,3.6422909788903812,0.5523637847639247,16.091893599317494,0.0512163892445699,7.5,0.5,LONG,377,True
GOLDETFADD,2025-12-23 00:00:00+05:30,132.7,441215.0,0.7255133349067737,,0.7931583333635819,0.3693107810565795,2.3216729002340966,0.5631935356139484,1.98133590991674,-0.0025119316754561,8.0,0.5,LONG,377,True
GOLDBEES,2025-12-23 00:00:00+05:30,113.1,31169256.05,0.7416254416961131,,0.8614340758916416,0.356118615449417,2.0946279772544005,0.567500914955251,1.5805276334430598,-0.0176834659593119,8.0,0.5,LONG,377,True
GROWWGOLD,2025-12-23 00:00:00+05:30,134.55,439855.8,0.532313456134873,,0.2498824127374748,0.23817795028912003,2.57869073993983,0.5367956055536254,2.130279806287452,0.2650811346463644,8.0,0.5,LONG,377,True
