horizon,window_days,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high
1d,30,48937,46.74759364845809,1.4247433386879345,2.1042866052656395,0.45557929357070626,0.0121405495662309,0.5948435420848615,0.4630578265017493,0.47189915282239236
3d,30,46609,66.21595351750653,2.24952475313649,3.2253050529007816,0.08222040299868831,-0.05263990947996582,0.4990138486335865,0.6578378307160786,0.6664543307464896
5d,30,41915,61.12525213716262,3.0323804323484036,4.276906335498525,0.21105869795996418,-0.3902468494770638,0.39210245992353493,0.6065605442462257,0.615923974615371
