symbol,timestamp,close,avg20_vol,bias,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,prob_up_5d,global_hits,actionable,hit_rate_1d_%,mae_1d_%,rmse_1d_%,pearson_r_1d,hit_rate_5d_%,mae_5d_%,rmse_5d_%,pearson_r_5d,D_atr14,D_cpr_width_pct,long_score,short_score,notes
SILVERADD,2025-12-23 00:00:00+05:30,203.64,659262.2,LONG,0.969650986342944,,2.0657022324530248,1.5879609473913163,0.6666186873481861,377,True,53.63057324840764,1.087055042550144,1.4490359435443416,0.7291722369663335,66.25766871165644,2.5263787910893707,3.3066545265094565,0.4004924770742971,5.413827042643521,-0.1031231585150164,8.0,0.5,
SAMBHV,2025-12-23 00:00:00+05:30,96.33,566181.55,SHORT,0.96415770609319,,0.4777868236886157,0.4833531600949964,0.5324559187901308,92,True,46.95652173913044,1.9834393758100957,2.7160247560270165,0.7726720179639099,62.5,4.803034057214351,6.747005753758287,0.2903857885752203,3.637244919473454,0.2006989861240818,2.5,5.0,
WEBELSOLAR,2025-12-23 00:00:00+05:30,85.49,9550039.6,SHORT,0.956043956043956,,4.339337193049958,4.328760602480753,0.6904357161486119,63,True,47.136563876651984,2.9085364803639653,3.433292548760725,0.7307577241647863,63.68421052631579,6.749262119805825,9.037756370960867,0.316496592516284,6.009819991422186,-0.4444964323312615,1.0,4.0,
BLACKBUCK,2025-12-23 00:00:00+05:30,642.6,520814.95,LONG,0.956043956043956,,-0.1009698303940939,-0.5357774891295062,0.4740934232082028,92,True,54.65116279069768,2.2593759805733398,3.357841548173341,0.7095335506269065,53.7037037037037,6.334668719531545,8.740368752811593,0.2404192784387049,22.703429728012058,0.3553273161116251,4.0,1.5,
JYOTICNC,2025-12-23 00:00:00+05:30,965.8,578186.8,LONG,0.956043956043956,,-0.1160363164299536,-0.5771607850466252,0.4687328632232793,231,True,49.25690021231423,2.340714541894359,3.1369487647350827,0.6742366351965373,63.54166666666666,5.713608884664047,8.23308885941798,0.2356873069211271,33.0325352869638,0.0345137019396622,3.5,2.5,
RESPONIND,2025-12-23 00:00:00+05:30,200.47,259601.3,LONG,0.9495569188820724,,1.5209360869585271,2.951321606511496,0.6863831792205082,129,True,47.88004136504654,1.9210721090706957,2.937371236266108,0.6698593857546371,64.9746192893401,4.0302414097730015,5.988022102170078,0.4059371438677699,8.168251778157488,0.3225752814220101,3.0,2.0,
INDUSTOWER,2025-12-23 00:00:00+05:30,414.35,5463317.85,LONG,0.9495569188820724,,0.6689220504277509,0.816885505348345,0.5729072744381745,469,True,50.67079463364293,1.4693328427712409,2.1659200756466674,0.6821971338682563,69.1919191919192,3.21781079956953,4.2576753713098405,0.4679713200159217,8.849289972673665,0.0884920156067754,9.0,0.5,
PETRONET,2025-12-23 00:00:00+05:30,279.4,2266420.1,LONG,0.9495569188820724,,0.3749663127499647,0.5864883540982399,0.5695864520479734,231,True,50.15739769150053,1.1658978037279506,1.6283237596174578,0.6578984043769116,67.00507614213198,2.3739738713019305,3.118493351436627,0.3787860435025381,4.58815662811187,0.2922930088284202,3.5,2.5,
INDHOTEL,2025-12-23 00:00:00+05:30,738.3,2233445.6,LONG,0.938489871086556,,1.4002790532796143,2.260946831664952,0.7287620654234257,175,True,53.18039624608968,1.32193002145778,1.7925388520892245,0.7119327560150375,67.17171717171718,2.790630377506024,3.6725292700292034,0.4748061366268747,13.712275614607115,-0.0564359564766006,2.5,2.5,
VENKEYS,2025-12-23 00:00:00+05:30,1450.4,325843.05,LONG,0.938489871086556,,0.7105088977409307,1.1974176710033737,0.6047631956326556,298,True,45.8592132505176,1.4489084217235049,2.2256112155399195,0.3425896589121557,63.63636363636363,3.252450822197833,4.630967549898031,0.3350953493153579,41.1068535320634,0.4021879021879126,5.0,2.5,
