symbol,horizon,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high,stability_qtr_std,start_date,end_date
20MICRONS,1d,970,45.75569358178054,2.155882772157363,3.101960661473743,0.45890591781727186,0.18245583153041675,0.7226328161478575,0.42636971190603623,0.48908039870996534,0.5360443592978403,2021-12-27,2025-12-23
21STCENMGM,1d,964,50.10438413361169,1.4527407180900398,1.6066474787194318,0.5309893121425637,0.033209976550060215,0.7682266719615785,0.46944067107351833,0.5326386733840305,0.4767798930959972,2021-12-27,2025-12-23
360ONE,1d,956,50.73221757322176,1.6077538671283984,2.1258767746253886,0.4957264219167887,0.15381669207739895,0.6598287524150424,0.4756642747053923,0.5389214652750378,0.3199518319904829,2021-12-27,2025-12-23
3IINFOLTD,1d,966,40.683229813664596,1.9873740487093643,2.9033582151338155,0.4236673811406125,-0.1237538355181421,0.667542613758148,0.3762817981263864,0.4381208837136171,0.3876069850068197,2021-12-27,2025-12-23
3MINDIA,1d,952,44.4327731092437,1.3400891671623638,1.8487745452514626,0.4751857204596405,0.05084368454026417,0.22529761632198916,0.4130496992781163,0.47605326506241863,0.30552663812830777,2021-12-28,2025-12-23
3PLAND,1d,970,48.34710743801653,2.449040798867778,3.2964270758226553,0.45964372585073865,0.1597271722933426,0.6918344771205218,0.4521174492464269,0.5149553741437222,1.076146389466355,2021-12-27,2025-12-23
5PAISA,1d,972,43.62139917695473,1.6617104563069387,2.425055151458486,0.4533598488208664,0.013947428004912088,0.6772440688527399,0.40534883125464255,0.4675813656133739,0.33678425025850317,2021-12-28,2025-12-23
63MOONS,1d,979,46.77584442169908,2.5177021379801654,3.187725920939233,0.4797133433375545,0.1890670839968087,0.7915307756757808,0.43665807292160386,0.49911137242002945,0.8505388173288777,2021-12-27,2025-12-23
A2ZINFRA,1d,948,47.03389830508475,2.5830479020630954,3.16346080324819,0.48726385101685915,0.13712372587249905,0.6023524577443652,0.4386834505833333,0.5022349475962782,1.2046202504479073,2021-12-27,2025-12-23
AADHARHFC,1d,392,49.234693877551024,1.4779726568055875,1.9818667924041153,0.4538791974616473,0.12352917024156411,0.7834513286392049,0.4431702198360782,0.5416722019811336,0.30493629012501433,2024-05-15,2025-12-23
AAKASH,1d,914,43.15443592552026,2.3871437757331537,3.2267782057411627,0.3990181604146728,-0.06364619744280928,0.5457098235391861,0.3997694346215599,0.46389294719008567,0.6122716135459382,2021-12-27,2025-12-23
AARON,1d,968,46.639089968976215,1.8953724823102132,2.756900255752694,0.4498664334433592,0.16143928039993835,0.7376503134598152,0.4351424818421901,0.49790529855782567,0.4934072985272742,2021-12-27,2025-12-23
AARTECH,1d,606,46.733668341708544,2.373956360050056,2.894075340976751,0.44802094750847826,0.09204699817836293,0.7803260080791293,0.4276500739961295,0.5074409716305383,0.45987093335464246,2023-07-10,2025-12-23
AARTIDRUGS,1d,954,45.492662473794546,1.5399110747455078,2.2619751555889938,0.4545377637560631,0.005382755245304385,0.6697223546755189,0.4235708251238596,0.4866439744839254,0.36814440824257516,2021-12-27,2025-12-23
AARTIIND,1d,965,48.49740932642487,1.445602778716774,2.050783253938918,0.49096337958090064,-0.07367449538659139,0.6370333711533007,0.4535631279051696,0.5165042185010953,0.38359108457351493,2021-12-27,2025-12-23
AARTIPHARM,1d,705,49.14772727272727,1.9145576949371523,2.6664165713514376,0.4869972574994372,0.17847038861108672,0.7210452046122343,0.45469407366394554,0.5283529809313198,0.2763889211704822,2023-01-30,2025-12-23
AARTISURF,1d,966,41.61490683229814,1.6713694045878418,2.5033039316076793,0.4343615599692022,-0.05819049903669446,0.6393104175915761,0.38545661988635904,0.44750579376964417,0.48062807852821715,2021-12-27,2025-12-23
AARVI,1d,965,45.07772020725388,1.8766938891751022,3.081030663954041,0.41626213442764615,0.08284459010923255,0.6560120037513145,0.41963999966375404,0.4823047558050449,0.4659315383622862,2021-12-27,2025-12-23
AAVAS,1d,960,46.25,1.5008028248206855,2.0084359039949735,0.47927113274532507,-0.031505182251174886,0.4321523818898589,0.43117174666074876,0.49412718212589013,0.3726086740275733,2021-12-27,2025-12-23
ABB,1d,960,55.208333333333336,1.4595269377205327,2.0556272044416652,0.546507184356251,0.11129433242555843,0.24859740145275822,0.5204805144449309,0.5832709733514041,0.2996165723168298,2021-12-27,2025-12-23
ABBOTINDIA,1d,950,47.578947368421055,1.1720931873340277,1.518017805764888,0.5230187216603779,0.05467861213999757,0.18037907033264697,0.4441927461639402,0.5075812171440136,0.18111015065792532,2021-12-27,2025-12-23
ABCAPITAL,1d,962,52.28690228690229,1.4174793686206095,1.9571237843901523,0.5087683114480271,0.1338525900368513,0.7176029620475926,0.49127736310044406,0.5542787612164211,0.5104090812145546,2021-12-27,2025-12-23
ABCOTS,1d,675,54.76190476190476,2.6698232301481357,3.6856496172081132,0.5177025515791364,0.42201569954914414,0.7186321551213765,0.5098220217073604,0.5848747238022385,0.7626364192583512,2022-01-11,2025-12-23
ABDL,1d,351,50.142450142450144,1.7903563505477347,2.3270011514498026,0.5185757965417521,0.22745962748353696,0.775256886885174,0.44938468091302364,0.5534334779499733,0.395488268055708,2024-07-02,2025-12-04
ABFRL,1d,902,48.72364039955605,1.50576393465723,2.746417420223066,0.48889436633665645,-0.06716448987496614,0.5602080262762705,0.454722011209271,0.5198591751552817,0.42957372245090863,2022-03-28,2025-12-04
